course_code,branch,semester
BAD402,AD,4
BAD515B,AD,5
BAD515C,AD,5
BAI405B,AD,4
BAI405D,AD,4
BAI515A,CSE,5
BAI515A,AD,5
BAI515E,AD,5
BCB402,CB,4
BCB456D,CB,4
BCB501,CB,5
BCB515A,CB,5
BCB515B,CB,5
BCBL504,CB,5
BCS401,AD,4
BCS401,CB,4
BCS401,CSE,4
BCS402,CSE,4
BCS403,AD,4
BCS403,CB,4
BCS403,CSE,4
BCS405A,AD,4
BCS405A,CB,4
BC405A,CSE,4
BCS405B,CB,4
BCS405B,CSE,4
BCS405C,AD,4
BCS405C,CB,4
BCS405C,CSE,4
BCS405D,CB,4
BCS405D,CSE,4
BCS456A,CB,4
BCS456A,CSE,4
BCS456B,CB,4
BCS456B,CSE,4
BCS456C,CSE,4
BCS501,AD,5
BCS501,CB,5
BCS501,CSE,5
BCS502,AD,5
BCS502,CB,5
BCS502,CSE,5
BCS503,AD,5
BCS503,CB,5
BCS503,CSE,5
BCS508,AD,5
BCS508,CB,5
BCS508,CSE,5
BCS515B,CSE,5
BCS515C,CB,5
BCS515C,CSE,5
BCS515D,AD,5
BCS515D,CB,5
BCS515D,CSE,5
BCSL456D,AD,4
BCSL504,CSE,5
BDS456D,AD,4
BDSL456A,AD,4
BDSL456B,AD,4
BDSL456C,AD,4
