course_code,course_name,
BAD402,Artificial Intelligence,
BAD515B,Data Warehousing,
BAD515C,Cloud Computing,
BAI405B,Metric Spaces,
BAI405D,Algorithmic Game Theory,
BAI515A,Computer Vision,
BAI515E,Exploratory Data Analysis,
BCB402,Financial Management,
BCB456D,Business Communication,
BCB501,Fundamentals of Management,
BCB515A,Marketing Research and Marketing Management,
BCB515B,Advanced Java,
BCBL504,Computational Statistics Lab,
BCS401,Analysis and Design of Algorithms,
BCS402,Microcontrollers,
BCS403,Database Management System,
BCS405A,Discrete Mathematical Structures,
BCS405B,Graph Theory,
BCS405C,Optimization Technique,
BCS405D,Linear Algebra,
BCS456A,Green IT and Sustainability,
BCS456B,Capacity Planning for IT,
BCS456C,UI/UX,
BCS501,Software Engineering and Project Management,
BCS502,Computer Networks,
BCS503,Theory of Computation,
BCS508,Environmental Studies,
BCS515B,Artificial Intelligence,
BCS515C,UNIX System Programming,
BCS515D,Distributed Systems,
BCSL456D,Technical Writing Using LaTeX,
BCSL504,Web Technology Lab,
BDS456D,Julia,
BDSL456A,Scala,
BDSL456B,MongoDB,
BDSL456C,MERN,
